raceId,lap,p1_p2,p2_p3,p1_last
10,67,14.992,4.407,132.633
10,68,14.355,4.051,132.37
10,69,13.619,3.967,132.047
10,70,11.529,5.357,74.046
11,1,1.503,0.947,78.077
11,2,1.881,1.597,85.027
11,3,2.12,1.912,86.04
11,4,2.688,2.054,87.62
11,5,3.09,1.822,88.67
11,6,4.026,1.702,90.57
11,7,4.645,1.865,91.991
11,8,5.289,1.763,93.814
11,9,5.484,2.093,95.683
11,10,5.774,1.924,97.032
11,11,5.816,2.05,101.207
11,12,6.341,1.777,102.912
11,13,6.251,1.982,104.121
11,14,6.796,1.937,110.821
11,15,7.567,1.294,116.102
11,16,1.253,4.466,117.478
11,17,4.369,4.612,118.326
11,18,4.819,4.633,124.537
11,19,9.843,6.972,129.995
11,20,1.682,7.154,117.61
11,21,3.245,4.392,118.035
11,22,3.423,4.676,119.55
11,23,3.644,4.421,137.623
11,24,3.601,4.38,145.362
11,25,3.259,4.377,146.595
11,26,4.019,4.122,148.717
11,27,4.367,4.123,150.938
11,28,4.185,4.443,152.605
11,29,4.148,4.62,154.213
11,30,4.122,4.779,156.796
11,31,4.373,5.307,161.301
11,32,4.527,5.315,163.411
11,33,4.195,5.529,166.083
11,34,3.931,6.119,170.193
11,35,4.21,6.235,172.123
11,36,3.686,6.931,173.587
11,37,6.919,4.307,171.269
11,38,11.637,9.207,173.46
11,39,11.854,9.729,182.631
11,40,8.131,2.244,175.037
11,41,2.925,3.15,170.432
11,42,2.863,3.606,171.449
11,43,6.253,6.77,171.872
11,44,6.763,6.325,172.669
11,45,6.838,6.083,177.307
11,46,6.542,6.766,178.522
11,47,6.695,7.017,179.59
11,48,6.432,7.452,180.654
11,49,6.352,7.927,181.419
11,50,5.979,8.709,182.246
11,51,5.675,8.824,182.481
11,52,5.496,8.841,183.385
11,53,5.297,9.105,183.684
11,54,5.039,10.309,184.408
11,55,4.795,11.015,180.309
11,56,3.909,11.678,182.591
11,57,2.358,13.636,91.774
12,1,1.58,2.828,23.167
12,2,0.911,2.066,19.436
12,3,0.75,1.815,18.87
12,4,0.299,0.772,9.208
12,5,0.978,1.381,13.422
12,6,1.433,1.756,17.875
12,7,1.448,1.711,22.927
12,8,1.682,1.857,27.284
12,9,1.951,1.809,31.437
