suck,race_id,season,round,circuitId,dnf,Finished,Disqualified,Accident,Collision,Engine,Gearbox,Transmission,Clutch,Hydraulics,Electrical,Spunoff,Radiator,Suspension,Brakes,Differential,Overheating,Mechanical,Tyre,DriverSeat,Puncture,Driveshaft,Lap1,Laps2,Laps3,Laps4,Laps5,Laps6,Laps7,Laps8,Laps9
102,102,2013,10,hungaroring,3,8,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0
103,103,2013,11,spa,3,15,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
104,104,2013,12,monza,2,15,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
105,105,2013,13,marina_bay,2,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
106,106,2013,14,yeongam,2,17,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
107,107,2013,15,suzuka,3,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0
108,108,2013,16,buddh,3,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0
109,109,2013,17,yas_marina,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0
110,110,2013,18,americas,1,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
111,111,2013,19,interlagos,3,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,0,0,0,0,0,0,0
112,112,2014,1,albert_park,9,10,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
113,113,2014,2,sepang,7,8,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0
114,114,2014,3,bahrain,5,15,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
115,115,2014,4,shanghai,2,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0
116,116,2014,5,catalunya,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0
117,117,2014,6,monaco,8,4,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,1,0,0,0,0,0,0
118,118,2014,7,villeneuve,8,10,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
119,119,2014,8,red_bull_ring,3,11,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0
120,120,2014,9,silverstone,5,9,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0
121,121,2014,10,hockenheimring,4,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0
122,122,2014,11,hungaroring,6,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
123,123,2014,12,spa,4,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
124,124,2014,13,monza,2,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0
125,125,2014,14,marina_bay,5,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
126,126,2014,15,suzuka,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
127,127,2014,16,sochi,2,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
128,128,2014,17,americas,3,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
129,129,2014,18,interlagos,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0
130,130,2014,19,yas_marina,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
131,131,2015,1,albert_park,7,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
132,132,2015,2,sepang,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0
133,133,2015,3,shanghai,3,9,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0
134,134,2015,4,bahrain,3,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0
135,135,2015,5,catalunya,2,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0
136,136,2015,6,monaco,3,14,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
137,137,2015,7,villeneuve,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0
138,138,2015,8,red_bull_ring,6,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0
139,139,2015,9,silverstone,7,7,0,0,3,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0
140,140,2015,10,hungaroring,4,14,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
141,141,2015,11,spa,4,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
142,142,2015,12,monza,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,1,0,0,0
143,143,2015,13,marina_bay,5,12,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
