year,driver,gp,tires,from,to,laps
2012,Paul di Resta,Spain,Hard New,24,42,19
2012,Paul di Resta,Spain,Hard New,43,65,23
2012,Felipe Massa,Spain,Soft Used,1,10,10
2012,Felipe Massa,Spain,Hard New,11,29,19
2012,Felipe Massa,Spain,Hard New,30,45,16
2012,Felipe Massa,Spain,Hard Used,46,65,20
2012,Heikki Kovalainen,Spain,Soft Used,1,13,13
2012,Heikki Kovalainen,Spain,Soft Used,14,27,14
2012,Heikki Kovalainen,Spain,Soft Used,28,43,16
2012,Heikki Kovalainen,Spain,Hard New,44,65,22
2012,Vitaly Petrov,Spain,Soft Used,1,10,10
2012,Vitaly Petrov,Spain,Hard New,11,28,18
2012,Vitaly Petrov,Spain,Soft Used,29,44,16
2012,Vitaly Petrov,Spain,Hard New,45,65,21
2012,Timo Glock,Spain,Soft Used,1,14,14
2012,Timo Glock,Spain,Soft Used,15,26,12
2012,Timo Glock,Spain,Hard New,27,47,21
2012,Timo Glock,Spain,Hard New,48,64,17
2012,Pedro de la Rosa,Spain,Soft Used,1,10,10
2012,Pedro de la Rosa,Spain,Soft Used,11,19,9
2012,Pedro de la Rosa,Spain,Hard New,20,35,16
2012,Pedro de la Rosa,Spain,Hard New,36,54,19
2012,Pedro de la Rosa,Spain,Soft Used,55,63,9
2012,Sergio Perez,Spain,Soft Used,1,1,1
2012,Sergio Perez,Spain,Hard New,2,17,16
2012,Sergio Perez,Spain,Hard New,18,37,20
2012,Charles Pic,Spain,Soft Used,1,15,15
2012,Charles Pic,Spain,Soft Used,16,27,12
2012,Charles Pic,Spain,Hard New,28,35,8
2012,Narain Karthikeyan,Spain,Soft Used,1,11,11
2012,Narain Karthikeyan,Spain,Soft Used,12,21,10
2012,Narain Karthikeyan,Spain,Hard New,22,22,1
2012,Bruno Senna,Spain,Soft Used,1,12,12
2012,Michael Schumacher,Spain,Soft Used,1,10,10
2012,Michael Schumacher,Spain,Soft Used,11,12,2
2012,Mark Webber,Monaco,Supersoft Used,1,29,29
2012,Mark Webber,Monaco,Soft New,30,78,49
2012,Nico Rosberg,Monaco,Supersoft Used,1,27,27
2012,Nico Rosberg,Monaco,Soft New,28,78,51
2012,Fernando Alonso,Monaco,Supersoft Used,1,30,30
2012,Fernando Alonso,Monaco,Soft New,31,78,48
2012,Sebastian Vettel,Monaco,Soft New,1,46,46
2012,Sebastian Vettel,Monaco,Supersoft New,47,78,32
2012,Lewis Hamilton,Monaco,Supersoft Used,1,49,49
2012,Lewis Hamilton,Monaco,Soft New,50,78,29
2012,Felipe Massa,Monaco,Supersoft Used,1,31,31
2012,Felipe Massa,Monaco,Soft New,32,78,47
2012,Paul di Resta,Monaco,Soft New,1,35,35
2012,Paul di Resta,Monaco,Supersoft New,36,78,43
2012,Nico Hulkenberg,Monaco,Supersoft New,1,29,29
2012,Nico Hulkenberg,Monaco,Soft New,30,78,49
2012,Kimi Räikkönen,Monaco,Supersoft Used,1,29,29
2012,Kimi Räikkönen,Monaco,Soft New,30,78,49
2012,Bruno Senna,Monaco,Supersoft New,1,29,29
2012,Bruno Senna,Monaco,Soft New,30,78,49
2012,Sergio Perez,Monaco,Supersoft New,1,39,39
2012,Jean-Eric Vergne,Monaco,Supersoft New,1,17,17
2012,Jean-Eric Vergne,Monaco,Soft New,18,70,53
2012,Heikki Kovalainen,Monaco,Supersoft New,1,30,30
2012,Heikki Kovalainen,Monaco,Soft New,31,73,43
2012,Heikki Kovalainen,Monaco,Supersoft Used,74,77,4
2012,Sergio Perez,Monaco,Soft New,40,77,38
