Race,Cause,Deployed,Retreated,FullLaps,raceId,year,race_name,rating
2018 Abu Dhabi Grand Prix,Accident,1,5.0,3,1009,2018,Abu Dhabi Grand Prix,
2019 Bahrain Grand Prix,Two stranded cars,55,,2,1011,2019,Bahrain Grand Prix,
2019 Spanish Grand Prix,Accident,46,53.0,6,1014,2019,Spanish Grand Prix,
2019 Monaco Grand Prix,Debris from accident,11,16.0,4,1015,2019,Monaco Grand Prix,
2019 British Grand Prix,Accident,20,25.0,4,1019,2019,British Grand Prix,
2019 German Grand Prix,Accident,2,5.0,2,1020,2019,German Grand Prix,
2019 German Grand Prix,Accident,29,34.0,4,1020,2019,German Grand Prix,
2019 German Grand Prix,Accident,41,46.0,4,1020,2019,German Grand Prix,
2019 German Grand Prix,Accident,57,60.0,2,1020,2019,German Grand Prix,
2019 Belgian Grand Prix,Accident,1,5.0,3,1022,2019,Belgian Grand Prix,
2019 Singapore Grand Prix,Debris from accident,34,41.0,6,1024,2019,Singapore Grand Prix,
2019 Singapore Grand Prix,Stranded car,44,49.0,4,1024,2019,Singapore Grand Prix,
2019 Singapore Grand Prix,Accident,50,53.0,2,1024,2019,Singapore Grand Prix,
2019 Russian Grand Prix,Accident,2,5.0,2,1025,2019,Russian Grand Prix,
2019 Russian Grand Prix,Accident,30,34.0,3,1025,2019,Russian Grand Prix,
2019 Brazilian Grand Prix,Stranded car,54,60.0,5,1029,2019,Brazilian Grand Prix,
2019 Brazilian Grand Prix,Accident,66,70.0,3,1029,2019,Brazilian Grand Prix,
2020 Austrian Grand Prix,Stranded car,26,31.0,4,1031,2020,Austrian Grand Prix,
2020 Austrian Grand Prix,Stranded car,50,55.0,4,1031,2020,Austrian Grand Prix,
2020 Austrian Grand Prix,Stranded car,55,61.0,5,1031,2020,Austrian Grand Prix,
2020 Styrian Grand Prix,Debris from accident,1,4.0,2,1032,2020,Styrian Grand Prix,
2020 British Grand Prix,Accident,2,6.0,3,1034,2020,British Grand Prix,
2020 British Grand Prix,Accident,13,19.0,5,1034,2020,British Grand Prix,
